Feature,LR_Coefficient,LR_Abs,RF_Importance
NPIPB15,0.1587547335818629,0.1587547335818629,0.0011152552833366676
PCDHGB2,0.1458676540323318,0.1458676540323318,0.0006502514860829599
AC015849.6,-0.1384047903935488,0.1384047903935488,0.0017635034874411155
AC005520.4,0.13522739954561852,0.13522739954561852,0.0005553601545953587
GNS,0.13245673465244134,0.13245673465244134,0.005740964285746902
RNA5SP243,-0.12848162870975904,0.12848162870975904,0.0
AL512785.1,-0.12758380984454432,0.12758380984454432,0.00019115890083631982
GPR89A,0.12147290799703776,0.12147290799703776,0.0017300746458405892
TMEM220-AS1,-0.1199226556087811,0.1199226556087811,0.0
AC006557.6,0.11691967219761912,0.11691967219761912,0.00047168304089887535
SPRYD4,-0.11502986616652856,0.11502986616652856,0.0013835719613327112
GDI2,-0.11378126890858374,0.11378126890858374,0.0
AL135786.1,-0.11343442149091264,0.11343442149091264,0.0023306438453270014
TBX5,-0.11301476853417522,0.11301476853417522,0.0033678691064135398
FRMPD1,-0.11132613057636111,0.11132613057636111,0.0007375743860531398
RPL12P8,-0.11111680526282466,0.11111680526282466,0.00039549612948627615
TMEM150A,0.11044809922927824,0.11044809922927824,0.015774361067218603
AC131281.1,0.1087999053016564,0.1087999053016564,0.0
AC099681.1,0.10861362330104639,0.10861362330104639,0.0009099942294086555
AC008525.1,0.10839722379617639,0.10839722379617639,0.00041787827373810147
IER2,0.10827959805313166,0.10827959805313166,0.0012418696871305717
STARD7-AS1,0.1080473057145899,0.1080473057145899,0.0022159058337979124
GJA3,-0.10547289434687972,0.10547289434687972,0.000457078676640559
GSTM1,-0.1052068071994817,0.1052068071994817,0.0017342482821975842
MIR5690,0.10435180214827179,0.10435180214827179,0.0
DSTNP3,-0.10426742210904152,0.10426742210904152,0.00044136859631590576
CXorf56,0.10414119299384678,0.10414119299384678,0.0023388852720201215
GRK4,-0.10307407533071565,0.10307407533071565,0.004091470699643541
LINC00951,-0.10241898861207113,0.10241898861207113,0.0072147874933971845
NTNG1,0.10192425431882694,0.10192425431882694,0.0012710970016143748
RPS3AP51,-0.10152018831809254,0.10152018831809254,0.0055052964972964165
SLC35E3,-0.10147570117991761,0.10147570117991761,0.0005866401961138991
PODN,0.10119762175745296,0.10119762175745296,0.000527480049762332
TBC1D30,0.10062487896075135,0.10062487896075135,0.0011905938175200308
ZMIZ1-AS1,0.1004152773258933,0.1004152773258933,0.0022237824246379204
