approach,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,notes
meta_features (Ridge pred + |residual|),0.56,0.07676636498000781,0.5948888888888888,0.0786321330352866,(2 features)
"meta_ext (pred,|res|,res,res²,rel_res) + LogReg",0.5594736842105263,0.08508753843352092,0.5868888888888889,0.10426556786387012,(5 features)
meta_features (2 feat) + RandomForest,0.5205263157894737,0.04963579264358878,0.4582222222222222,0.049084708840689974,(2 features)
meta_ext (5 feat) + RandomForest,0.46842105263157896,0.08323447506493437,0.4616666666666667,0.10418525760026977,(5 features)
meta_features (2 feat) + SVM-RBF,0.5294736842105263,0.0742720909245506,0.5055555555555555,0.06852232221674415,(2 features)
meta_ext (5 feat) + SVM-RBF,0.528421052631579,0.11453144338366521,0.4920000000000001,0.1437597447045969,(5 features)
"L1_LogReg (C=0.1, all features)",0.45052631578947366,0.08263995934707632,0.4344444444444444,0.07461506153188782,non-zero coefs: 34
SelectKBest(k=32) + LogReg,0.43,0.08875251157150037,0.44466666666666665,0.10198135874199851,(32 features)
RandomForest (all features),0.428421052631579,0.05897085998075496,0.36499999999999994,0.04103446308280185,
