step,removed_cluster,cluster_tag,cluster_size,r2_after,penalised_score,n_kept
1,2,Cluster 2,10,0.4680742497813303,0.4680742497813303,88
2,18,Cluster 18,6,0.5890237459848982,0.5890237459848982,82
3,7,Cluster 7,8,0.6252928944010027,0.6252928944010027,74
4,6,Cluster 6,5,0.6530382794963104,0.6530382794963104,69
5,11,Cluster 11,3,0.6607208417799646,0.6607208417799646,66
